9p64n5d6,,WHO,Young favela dwellers and their relations with the city in times of pandemic [Jovens da Favela e suas relações com a cidade em tempos de pandemia],10.1080/14427591.2020.1833678,,,unk,"An undergraduate student in the Arts course at a public university, the State University of Rio de Janeiro (UERJ), militant, non-binary transsexual and African Brazilian, Matheusa produced, in the engraving discipline, the zine ""Rio de Janeiro is still beautiful and oppressive"", where these verses come from. Keywords: Occupational science;Social occupational therapy;Anti-racism;Pandemic;Favela;Youth [Ciencia Ocupacional;Terapia ocupacional social;Anti-racismo;Pandemia;Juventude] EN Occupational science Social occupational therapy Anti-racism Pandemic Favela Youth [Ciencia Ocupacional Terapia ocupacional social Anti-racismo Pandemia Juventude] 449 456 8 08/09/21 20210801 NES 210801 I A body in the city i I A large exclusive city i I Phobic, racist, separatist, elitist city i I But Rio de Janeiro is still beautiful, isn't it? Available at https://elle.abril.com.br/cultura/o-legado-de-matheusa-passareli-e-sua-historia/ 2 The COVID-19 Unified Panel of the Favelas is a collective initiative of different social movements in the favelas of the state of Rio de Janeiro supported by the Institute of Communication and Information in Health (Icict), Health Information Laboratory (LIS), and Oswaldo Cruz Foundation (FIOCRUZ). COVID-19 e desigualdade: a distribuição dos fatores de risco no Brasil [COVID-19 and inequalities: Risk factors in Brazil].",2021,"Gonçalves, Monica Villaça Malfitano Ana Paula Serrata Lopes Matheus Neto Luiz Rafael Bezerra",Journal of Occupational Science,,#covidwho-1349718,,,,https://doi.org/10.1080/14427591.2020.1833678,228830324
8jlicx8r,db18d9757d32a4ba9950b31d163c14a53c385c95,BioRxiv,Architecture of the cytoplasmic face of the nuclear pore,10.1101/2021.10.26.465790,,,biorxiv,"The nuclear pore complex (NPC) is the sole bidirectional gateway for nucleocytoplasmic transport. Despite recent progress in elucidating the NPC symmetric core architecture, the asymmetrically decorated cytoplasmic face, essential for mRNA export and a hotspot for nucleoporin-associated diseases, has remained elusive. Here, we report a composite structure of the entire human cytoplasmic face obtained by combining biochemical reconstitution, crystal structure determination, docking into cryo-electron tomographic reconstructions, and physiological validation, accounting for a third of the NPC’s mass. Whereas an evolutionarily conserved ∼540 kDa hetero-hexameric cytoplasmic filament nucleoporin complex is anchored by species-specific motifs above the central transport channel, attachment of the pentameric NUP358 bundles depends on the double-ring arrangement of the coat nucleoporin complex. Our results and the predictive power of our composite structure provide a rich foundation for elucidating the molecular basis of mRNA export and nucleoporin diseases. One sentence summary An interdisciplinary analysis established the near-atomic molecular architecture of the cytoplasmic face of the human nuclear pore complex.",2021-10-26,"Bley, Christopher J.; Nie, Si; Mobbs, George W.; Petrovic, Stefan; Gres, Anna T.; Liu, Xiaoyu; Mukherjee, Somnath; Harvey, Sho; Huber, Ferdinand M.; Lin, Daniel H.; Brown, Bonnie; Tang, Aaron W.; Rundlet, Emily J.; Correia, Ana R.; Chen, Shane; Regmi, Saroj G.; Dasso, Mary; Patke, Alina; Palazzo, Alexander F.; Kossiakoff, Anthony A.; Hoelz, André",bioRxiv,,,,document_parses/pdf_json/db18d9757d32a4ba9950b31d163c14a53c385c95.json,,https://doi.org/10.1101/2021.10.26.465790,240114002
jwvfv1uq,,WHO,Evidences of Citizens’ Engagement from COVID-19 Pandemic in Italy. Health Care System’ Facebook Communication,10.1080/01900692.2021.1993906,,,unk,,2021,"Mori, Elisa Barabaschi Barbara Cantoni Franca Virtuani Roberta",International Journal of Public Administration,,#covidwho-1510726,,,,https://doi.org/10.1080/01900692.2021.1993906,244061456
57q28zlr,,WHO,Did PPP Loans Distort Business Competition? Evidence from the Hotel Industry,10.2139/ssrn.3962181,,,unk,"We study the effects of PPP loans on business competition. Hit hard by the Covid-19 pandemic, the U.S. airport hotel industry offers a useful empirical setting in which we observe daily prices (room rates), market shares (occupancy), and demand (airport traffic). Older and less profitable hotels were more likely to apply for PPP loans. Hotels with active PPP loans reduced average daily rates, boosting occupancy and revenues per available room compared to competitors without PPP loans. PPP hotels reduced room rates more swiftly and aggressively in response to negative demand shocks and to price drops by non-PPP competitors. Those differences between PPP and non-PPP hotels were reversed once PPP loans expired. We rationalize our findings by introducing temporary cash subsidies into a model of monopolistic competition with differentiated products and heterogeneous production costs. Combining key model constructs with our empirical estimates, we calculate that for the U.S. airport hotel industry in aggregate, with every dollar of PPP subsidies spent, hotels that obtained PPP loans earned 72.3 cents in extra profits and those without PPP loans lost 70.5 cents. Those estimates imply that every dollar of extra profit to a given hotel with a PPP loan cost a given non-PPP rival 18.6 cents. The insights of our model apply to many other sectors of the economy.",2021,"Steiner, Eva Tchistyi Alexei",,,#ppcovidwho-296071,,,,https://doi.org/10.2139/ssrn.3962181,244454198
m9etoz3r,,WHO,Spectral Image Contrast Based Flow Digital Nanoplasmon-metry For Ultrasensitive Antibody Detection,10.21203/rs.3.rs-952439/v1,,,unk,"Background: Gold nanoparticles (AuNPs) have been widely used as local surface plasmon resonance (LSPR) immunoassay for biomolecule sensings. It is primarily based on two conventional methods - absorption spectra and colorimetric. While the low figure of merit (FoM) of the LSPR and high-concentration AuNPs requirement restrict their limit of detection (LOD), which is around ng to μg per mL in antibody detection if there is no other signal or analytes amplification. By now, the improvement of sensitivity has bogged down for years. It also reveals a great challenge of the current LSPR immunoassay in biosensing - pushing the boundary of the current LOD. Results: : In this work, we developed a spectral image contrast-based flow digital nanoplasmon-metry(FDNM) to push the LOD boundary. Comparing the scattering image brightness of AuNPs in two neighboring wavelength bands near the LSPR peak, the signal of peak shift is extremely amplified and quickly detected. Introducing the digital analysis, the FDNM provides an ultra-high signal-to-noise ratio and less sample volume requirement. Compared to conventional analog LSPR immunoassay, FDNM has a LOD down to 1 pg mL -1 within only a 15-minute detection time and 500 μL sample volume. Antibody against spike proteins of SARS-CoV-2 in artificial saliva that contained various proteins was also conducted to validate the detection of FDNM in complicated samples. Of the detection, FDNM shows significant discrimination with a LOD of 10 pg mL -1 and a broad dynamic detecting range of five orders of magnitude. Conclusion: Together with the quick readout time and simple operation, this work outstandingly demonstrated the high sensitivity and selectivity of the developed FDNM in rapid antibody detection. The spectral image contrast and digital analysis further provide a new generation LSPR immunoassay of AuNPs.",2021,"Wang, Sheng-Hann Kuo Chia-Wen Lo Shu-Cheng Yeung Wing Kiu Chang Ting-Wei Wei Pei-Kuen",,,#ppcovidwho-296274,,,,https://doi.org/10.21203/rs.3.rs-952439/v1,244611446
r68nky9x,,WHO,Impacts of the 2020 COVID-19 Shutdown Measures on Ozone Production in the Los Angeles Basin,10.26434/chemrxiv.12805367.v1,,,cc-by-nc-nd,"In March and April 2020, the South Coast Air Basin of California (USA) experienced noticeable declines in on-road activity and primary traffic-related pollutant emissions. However, secondary ozone concentration trends were not consistent across the basin. This research letter explores the impact of meteorology and emissions during this time period. The study elucidates the potential impacts on ozone nonattainment status for the region.",2020,"Ivey, Cesunica Gao Ziqi Do Khanh Kashfi Yeganeh Arash Russell Armistead Blanchard Charles Lee Sang-Mi",,,#ppcovidwho-313088,,,,https://doi.org/10.26434/chemrxiv.12805367.v1,241291850
qse41ybm,d178fb94698f29771a60e6fc570c4ea4dcfbc07a,BioRxiv,Magnetic Bead-Quantum Dot (MB-Qdot) CRISPR Assay for Instrument-Free Viral DNA Detection,10.1101/2020.04.10.036558,,,biorxiv,"We have developed a novel detection system which couples CRISPR-Cas recognition of target sequences, Cas mediated nucleic acid probe cleavage, and quantum dots as highly sensitive reporter molecules for instrument-free detection of viral nucleic acid targets. After target recognition and Cas mediated cleavage of biotinylated ssDNA probe molecules, the probe molecules are bound to magnetic particles. A complimentary ssDNA oligonucleotide quantum dot conjugate is then added, which only hybridizes to un-cleaved probes on the magnetic beads. After separation of hybridized from unhybridized quantum dot conjugates by magnetic sequestration, the signal is measured fluorometrically to provide a signal proportional to the cleaved probes and therefore the amount of target nucleic acid. To demonstrate the power of this assay, a 250 bp DNA target sequence matching a portion of the African swine fever virus (ASFV) genome is used and a detection limit of ~0.5 nM is achieved without target amplification using a simple portable ultraviolet flashlight. The positive samples are readily confirmed by visual inspection, completely avoiding the need for complicated devices and instruments. This work establishes the feasibility of a simple, instrument free assay for rapid nucleic acid screening in both hospitals and point-of-care settings.",2020-04-12,"Bao, Mengdi; Jensen, Erik; Chang, Yu; Korensky, Grant; Du, Ke",bioRxiv,,,,document_parses/pdf_json/d178fb94698f29771a60e6fc570c4ea4dcfbc07a.json,,https://doi.org/10.1101/2020.04.10.036558,215791214
k2jvk809,,WHO,Mechanical Ventilation and Death During Pregnancy Complicated by COVID-19: A Prognostic Analysis from the Brazilian COVID-19 Registry Score (preprint),10.21203/rs.3.rs-956336/v1,,,unk,"Background: Assessing predictors of critical outcomes in COVID-19 may advise timely treatments and better prepare facilities to overcome extra adversities during pregnancy. However, many clinical parameters of existent scores are deeply modified by physiologic adaptations. Our aim was to assess the feasibility of a prognosis score developed for general hospitalized adults with COVID-19 in Brazil to predict clinical adverse outcomes in pregnant women upon hospital admission. Methods: : This is a multicenter retrospective substudy of the Brazilian COVID-19 Registry, a multicenter cohort analysis in Brazilian hospitals, which provided an accurate score to predict in-hospital death. The present analysis assessed the performance of this model, ABC 2 -SPH, based on data of 3978 patients, to assess poor clinical outcomes in data from 85 pregnant women admitted due to COVID-19 from March 1, 2020, to May 5, 2021, in 19 Brazilian hospitals. The primary outcomes were death and the composite mechanical ventilation or death, and secondary were pregnancy outcomes and severe/critical Covid-19. The overall discrimination of the model was presented as the area under the receiver operating characteristic curve (AUROC). Results: : Thirty-one (36.5%) pregnant women had critical or severe COVID-19. Most of them had no previous comorbidities (64.7%). The median gestational age was 31.0 (26.0, 36.2) weeks;38 (44.7%) women gave birth during hospitalization by Covid-19, most of them by C-section (76.3%). The need for mechanical ventilation or death occurred in 14 (17.3%) pregnant women. Severe and critical COVID-19 in pregnant women was associated with diabetes, inflammatory markers, and abnormal vital signals observed at admission. The model was not able to identify adverse clinical outcomes. The AUROC of predicting severe/critical Covid-19 illness was 0.595 (95% CI: 0.424-0.754);AUROC of the inpatient death discrimination was 0.683 (95% CI: 0.293-0.945), as the AUROC of mechanical ventilation or death discrimination was 0.591 (95% CI: 0.434-0.75). Conclusions: : The model ABC 2 -SPH developed in Brazilian general patients was not able to identify adverse clinical outcomes in pregnant women with COVID-19. We warn against the use of general inpatients COVID-19 prognosis in pregnant women. A more useful model for clinical prognosis is necessary concerning the specificities of pregnancy affected by COVID-19.",2021,"Reis, Zilma Silveira Nogueira de Aguiar Regina Amélia Lopes Pessoa Sales Thaís Lorenna Souza Maurílio Amanda de Oliveira Scotton Ana Luiza Bahia Alves Farace Bárbara Lopes Ramos Carolina Marques Cimini Christiane Corrêa Rodrigues Cardoso Clareci Silva Rempel Claudete Ponce Daniela Cezar Edilson Kroger Emanuele Marianne Souza Manenti Euler Roberto Fernandes Aranha Felipe Ferraz Martins Graça Anschau Fernando Crestani Gabriela Petry Bastos Gisele Alsina Nader de Alvarenga Joice Coutinho Machado-Rugolo Juliana Ruschel Karen Brasil Zandoná Liege Barella Pinheiro Lílian Santos Chiaravalle Luana Yasmin Bochard Santos Luisa Elem Almeida Floriani Maiara Anschau Martins Matheus Fernandes Lopes Júnior Milton Henriques Guimarães Martelli Petrônio José de Lima de Almeida Rafaela dos Santos Charão Martins Raphael Castro Pozza Roberta Mourato Rodolfo Lucas Silva Garbini Andresa Fontoura Pires Magda Carvalho Marcolino Milena Soriano",,,#ppcovidwho-292251,,,,https://doi.org/10.21203/rs.3.rs-956336/v1,240267848
i8qaqeel,,WHO,Predictors of Worse Prognosis in Young Adults Hospitalized with COVID-19 Pneumonia: A Multi-Center Italian Study (COVID-UNDER50),10.2139/ssrn.3727959,,,unk,"Background: Obesity as well as metabolic and cardiovascular comorbidities are established, significant predictors of worse prognosis in overall COVID-19 population, but limited information are available on their specific roles in young adults (aged ≤ 50 years). The main objectives of the present Italian multi-center study were to describe clinical characteristics, and role of selected prognostic predictors, in particular obesity, in a large cohort of young hospitalized patients with COVID-19 pneumonia.Methods: Nine Pulmonology Units, across North and Centre of Italy, were involved in this retrospective study. Demographic and clinical characteristics as well as radiological features were registered for all cases. Comorbidity were classified according to their known or potential association with COVID-19.Findings: A total of 263 subjects were included. The prevalence of obesity was 25.9%, mechanical ventilation (MV) was needed in 73 patients (27.7%), and 28 in-hospital deaths occurred (10.6%). Obesity and older age were the only significant predictors for MV in a full model adjusted for comorbidities and markers of severity. Pre-existing comorbidities, such as hypertension, diabetes and asthma, and increased D-dimer level were significantly associated with higher mortality risk, regardless of age, body mass index, and MV.Interpretation: Obesity in young adults is, per se, a strong, independent, predictor of a more complicated COVID-19, without, however, influencing in-hospital mortality. On the other hand, selected comorbidities, mainly hypertension, diabetes and asthma, significantly impact survival even in a young population, and prompt recognition of these conditions as well as a closer surveillance of this subgroup are highly recommended.Funding: none.Declaration of Interests: Prof. Bonifazi reports speaker fees from Boehringer Ingelheim and Roche, outside the submitted work;Dr. Harari reports personal fees from Roche, grants and personal fees from Actelion and Boehringer Ingelheim, outside the submitted work.Ethics Approval Statement: Anonymized data of patients included in the study cohort were retrospectively collected from electronic medical records. The study protocol complies to the ethical guidelines of the 1975 Declaration of Helsinki and it was notified and approved by the coordinator ethics committee (n. 2020131) and by each local ethics committee and the need for patient’s informed consent was waived.",2020,"Bonifazi, Martina Mei Federico Skrami Edlira Latini Lara Letizia Amico Donatella Balestro Elisabetta Bini Francesco Bonifazi Floriano Caminati Antonella candoli piero Cinti Saverio berardino alessandro di marco Contucci Susanna harari sergio levi guido lococo sara Menditto Vincenzo marchetti giampietro Piciucchi Sara Poletti Venerino Ravaglia Claudia Saetta Marina Baroni Gianluca Svegliati Tomassetti Sara Tamburrini Mario Zanforlin Alessandro Zuccon Umberto Zuccatosta Lina Gasparini Stefano Carle Flavia",,,#ppcovidwho-307124,,,,https://doi.org/10.2139/ssrn.3727959,234659462
nj2bubiq,,WHO,Todays' digital natives: an exploratory study on students' engagement and satisfaction towards virtual classes amid COVID-19 pandemic,10.1108/ijilt-03-2021-0055,,,unk,"Purpose: This paper aims to study the perception of school students towards online classes via virtual meeting applications and to unravel the teachers' preparedness and students' preparedness for running synchronous online classes and its impact on student's engagement and their satisfaction during the period of lockdown due to COVID-19. Design/methodology/approach: On the basis of focused group discussions with teachers and students of top 10 private CBSE affiliated schools (National capital Region, Delhi, India), survey instrument was constructed. Further, 489 valid responses were finally analysed through partial least square (PLS) method and structural model was tested. Findings: All the six independent variables such as teachers' structured approach, teachers' technical readiness, teachers' self-efficacy, students' technical readiness, students' autonomy and students' self-efficacy influenced students' engagement and satisfaction towards synchronous online classes significantly. The result of the structural model also reveals that students' engagement is a significant predictor of students' satisfaction. Research limitations/implications: The paper outlines the scope for future research in ascertaining more critical success factors other than satisfaction and engagement. Scope of this research suggests inclusion of not only schools but framework is also important for college and university level educational bodies. Data collection was confined to students only whereas viewpoint of teachers and parents may also be included. Originality/value: This study devised a collaborative form of learning where both the parties learnt while making continuous interactions and also co-created value in terms of new skills. Provision of autonomy given to students can't be overlooked as an important indicator for his/her preparedness. As a result, students feel motivated to get engaged in the whole process which makes them satisfied and will be able to identify the learning outcomes equal to or greater than in physical classroom settings. © 2021, Emerald Publishing Limited.",2021,"Maini, R.; Sehgal, S.; Agrawal, G.",International Journal of Information and Learning Technology,,#covidwho-1413012,,,,https://doi.org/10.1108/ijilt-03-2021-0055,239435870
